zcta_code,hospital beds,hospital cost per day,nurse beds,nurse cost per day,home cost per visit,Summary star rating,Overall Rating,num_doctors,doctor_rating,home_rating,hospital beds_weighted,nurse beds_weighted,num_doctors_weighted,hospital cost per day_weighted,nurse cost per day_weighted,home cost per visit_weighted,Summary star rating_weighted,Overall Rating_weighted,doctor_rating_weighted,home_rating_weighted,origin_health_score,quantity_score,expenses_score,quality_score,baseline_score,combined_health_score
60439,0,0,0.128861287,0.256005607,0.486040535,0,0.318004205,0.04223365,0.398715029,0,0,0.010329872,0.005434931,0,0.020236286,0.054600236,0,0.021616731,0.036342773,0,0.148560829,0.015764802,0.074836523,0.057959504,20,20.14856083
60443,0.07766647,0.166665547,0.211338843,0.219534944,1.03023423,0.300902708,0.311768828,0.042697756,0.563156226,0,0.007064654,0.016941497,0.005494655,0.015508755,0.017353417,0.115733213,0.023259036,0.021192873,0.051331547,0,0.273879647,0.029500807,0.148595384,0.095783456,20,20.27387965
60445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
60449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
60452,2.014276739,1.834485501,6.360956192,7.913033539,11.83312392,5.015045135,7.815005285,0.635206465,8.402327297,0,0.183221524,0.509911562,0.081742954,0.170704666,0.625495718,1.32929523,0.387650595,0.531234685,0.765869996,0,4.58512693,0.77487604,2.125495614,1.684755276,20,24.58512693
60453,0.29393286,0.176888724,0.518822349,0.576584783,0.450981411,0.601805416,0.785657446,0.075803986,0.372914858,0,0.026736558,0.041590212,0.009755004,0.016460054,0.045576872,0.050661807,0.046518071,0.05340604,0.033991094,0,0.324695712,0.078081774,0.112698732,0.133915206,20,20.32469571
60455,1.322697868,0.795999259,2.811835608,2.913790827,2.367585527,2.708124373,4.134054659,0.374533573,2.132370348,0,0.12031451,0.225404396,0.048197684,0.074070243,0.230324272,0.265966973,0.209331321,0.281017497,0.194365015,0,1.648991911,0.39391659,0.570361488,0.684713833,20,21.64899191
60456,5.505084629,3.395714599,11.36448906,12.19453734,9.810298219,11.50952859,17.45905436,1.703269163,8.778389888,0,0.500750455,0.911008375,0.219188974,0.315981961,0.963932587,1.102057471,0.889658116,1.186800893,0.800148006,0,6.889526838,1.630947804,2.381972019,2.876607014,20,26.88952684
60457,1.322697868,0.795999259,2.85568644,2.961805851,2.486702657,2.708124373,4.283703696,0.378246422,2.216388263,0,0.12031451,0.228919598,0.048675481,0.074070243,0.23411968,0.279348209,0.209331321,0.291190076,0.202023226,0,1.687992345,0.397909588,0.587538133,0.702544624,20,21.68799234
60458,2.645395736,1.591998518,5.667522048,5.875596679,4.854288184,5.416248746,8.417758355,0.753708207,4.34875861,0,0.24062902,0.454323993,0.096992614,0.148140487,0.464443952,0.545315182,0.418662643,0.572207573,0.396388241,0,3.337103705,0.791945627,1.15789962,1.387258457,20,23.33710371
60459,1.8002993,1.093509312,3.799824913,4.007931353,3.209390362,3.686058174,5.686663422,0.563888837,2.971368525,0,0.163757827,0.304604307,0.072565287,0.101754493,0.31681199,0.360532631,0.284923187,0.386558005,0.270839485,0,2.262347212,0.540927421,0.779099114,0.942320678,20,22.26234721
60461,0.051777647,0.111110365,0.055512725,0.080158773,0.328756969,0.200601805,0.133021367,0.015470201,0.208751339,0,0.00470977,0.004450051,0.001990817,0.01033917,0.006336251,0.036931505,0.015506024,0.009042293,0.019027631,0,0.108333512,0.011150638,0.053606926,0.043575948,20,20.10833351
60462,0.224475041,0.139358534,0.495393024,0.804774123,0.940987846,0.601805416,0.681734504,0.058786765,0.612594735,0,0.020418574,0.039712053,0.007565105,0.012967751,0.063614386,0.10570756,0.046518071,0.046341749,0.055837854,0,0.398683105,0.067695733,0.182289697,0.148697675,20,20.3986831
60463,0.448950082,0.278717068,1.418846148,2.322898012,2.139837979,2.106318957,2.028575841,0.14758572,1.622739299,0,0.040837148,0.113738569,0.018992396,0.025935503,0.183616404,0.240382543,0.16281325,0.137894961,0.147912274,0,1.072123048,0.173568114,0.449934449,0.448620485,20,21.07212305
60464,1.010137684,0.627113403,3.116100221,5.161426602,5.407064762,4.062186559,4.682767796,0.369892513,3.928586213,0,0.091883584,0.249795075,0.047600439,0.058354881,0.407991477,0.607412332,0.313996982,0.318316954,0.358089634,0,2.453441359,0.389279098,1.07375869,0.99040357,20,22.45344136
60465,5.210757123,3.167853696,12.81204141,16.46272101,15.07836146,14.44332999,18.9118971,1.587242653,12.17335586,0,0.473978,1.027048111,0.204257845,0.294778785,1.30131655,1.693854818,1.116433714,1.285559681,1.10959829,0,8.506825794,1.705283956,3.289950153,3.511591686,20,28.50682579
60466,0.31066588,0.666662187,0.796280436,0.955771897,3.544308793,1.203610832,1.309429077,0.145729296,1.97813264,0,0.028258617,0.063832007,0.018753498,0.062035021,0.075550195,0.398156294,0.093036143,0.089010067,0.180306287,0,1.00893813,0.110844123,0.53574151,0.362352497,20,21.00893813
60467,1.795800328,1.114868272,5.359616392,8.900067054,9.940784276,6.619859578,8.130931036,0.689042766,7.256097345,0,0.163348594,0.429641438,0.088670998,0.103742011,0.703517028,1.116715857,0.511698786,0.55271013,0.661391428,0,4.331436269,0.68166103,1.923974896,1.725800343,20,24.33143627
60469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
